probeID,logFC,AveExpr,t,P.Value,adj.P.Val,B,UCSC_RefGene_Name
cg11643285,-0.16303981345445162,0.8568451803593993,-11.361221313256602,8.965254444839735e-12,3.249313029461045e-6,16.939853475279868,RFTN1
cg16374663,-0.04202649121291795,0.05063697008332353,-7.651143139254537,3.2119443350780884e-8,0.0058205891656984594,8.713587163134521,LTK;LTK;LTK
cg12611723,-0.019654846553536456,0.03985513625347644,-6.64606982186413,3.997268447543636e-7,0.03892521140815126,6.179568805367298,NPDC1
cg24016844,0.026444359250410367,0.054673463416687586,6.618014364377287,4.2959779058423056e-7,0.03892521140815126,6.107235611054083,C1orf103;C1orf103
