probeID,logFC,AveExpr,t,P.Value,adj.P.Val,B,UCSC_RefGene_Name
cg11643285,-0.17130595270179594,0.7802651394159754,-12.817671652057925,1.120113474270146e-25,4.0596720693362614e-20,47.6250593912061,RFTN1
cg24016844,0.033114796436283504,0.06637515043361383,9.459986346338631,7.352053376997521e-17,1.3323170568193599e-11,27.440512612014757,C1orf103;C1orf103
cg25294185,0.09696184376699685,0.13402022918550816,7.380308114258985,1.101491153818369e-11,1.330726149476689e-6,15.64828016179502,RNASEH2C
cg17238319,-0.07045980869766988,0.8376805272822079,-6.714995843936319,3.892129196576675e-10,2.8212799064641413e-5,12.138409011721174,RFTN1
